ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,495.80,128,43.47,52184460
4096,2048,484.81,128,42.67,80373132
6144,2048,481.12,128,42.45,108561804
8192,2048,478.58,128,41.65,136750476
10240,2048,475.91,128,41.31,164939148
12288,2048,473.63,128,41.13,193127820
14336,2048,471.31,128,40.89,221316492
16384,2048,469.09,128,41.60,249505164
18432,2048,466.82,128,41.33,277693836
20480,2048,464.79,128,41.26,305882508
22528,2048,462.90,128,41.11,334071180
24576,2048,461.26,128,40.91,362259852
26624,2048,459.46,128,40.77,390448524
28672,2048,457.80,128,40.48,418637196
30720,2048,456.27,128,40.27,446825868
32768,2048,454.49,128,38.01,475014540
