ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,497.85,128,53.62,52184460
4096,2048,484.22,128,52.42,80373132
6144,2048,481.12,128,52.08,108561804
8192,2048,478.02,128,50.92,136750476
10240,2048,474.94,128,50.45,164939148
12288,2048,472.66,128,50.23,193127820
14336,2048,470.34,128,49.94,221316492
16384,2048,468.86,128,51.00,249505164
18432,2048,467.00,128,50.56,277693836
20480,2048,464.73,128,50.44,305882508
22528,2048,463.04,128,50.22,334071180
24576,2048,461.24,128,49.93,362259852
26624,2048,459.63,128,49.73,390448524
28672,2048,457.85,128,49.34,418637196
30720,2048,456.45,128,49.09,446825868
32768,2048,455.11,128,48.86,475014540
34816,2048,453.61,128,47.80,503203212
36864,2048,452.48,128,47.33,531391884
38912,2048,451.14,128,47.02,559580556
40960,2048,449.62,128,47.01,587769228
43008,2048,448.42,128,46.89,615957900
45056,2048,447.23,128,45.59,644146572
47104,2048,445.57,128,45.45,672335244
49152,2048,442.73,128,43.88,700523916
51200,2048,439.63,128,43.62,728712588
53248,2048,438.60,128,43.50,756901260
55296,2048,437.57,128,43.18,785089932
57344,2048,436.34,128,43.14,813278604
59392,2048,435.35,128,42.97,841467276
61440,2048,434.31,128,42.72,869655948
63488,2048,433.06,128,42.52,897844620
65536,2048,432.22,128,42.17,926033292
